substrate_category	120516_mg	120613_mg	120813_mg	121220_mg	120516_mt	120613_mt	120813_mt	121220_mt	Order
AA peptide + (NH4+)	0.3182215202533589	-0.6478078288001498	-0.9362896113718863	1.2658759199186775	1.3604555446393642	-0.9316173831852733	-0.5220704077576405	0.09323224630354997	Flavobacteriales
Anions	0.45120884732991956	-0.01578066546613593	-1.379902263283523	0.9444740814197402	-0.7179373143817891	-0.13337817460808735	1.4514275150232576	-0.6001120260333815	Flavobacteriales
Carbohydrate	0.9116502392251964	-0.3523849503247961	-1.2513141396997518	0.6920488507993512	-0.11226133988881902	-0.8960891842744855	-0.411258016645543	1.4196085408088486	Flavobacteriales
Cations	0.2633258039839916	-0.47398307673874457	-1.0530778813527388	1.2637351541074915	1.1101275295554274	-1.310912054762708	0.2207443295148939	-0.019959804307612815	Flavobacteriales
Metal	0.680545644233429	-0.8353924978741009	-0.8783454329384891	1.0331922865791612	1.4434766459807218	-0.6771367325077319	-0.6697206385591905	-0.09661927491379994	Flavobacteriales
Nitrate	-0.10336988416994539	-0.15340602115287422	-1.082565045382602	1.339340950705421	1.420802928936579	-0.7604927863385004	-0.02604570212127576	-0.634264440476803	Flavobacteriales
Nucleoside	-0.058541838129806685	-0.5418979705114094	-0.8228685741269827	1.4233083827681987	0.41199993583924316	-0.7209480654546848	-0.9091907006116212	1.2181388302270628	Flavobacteriales
Other	1.2143750802158089	-0.4990840191429237	-1.0719240670197971	0.3566330059469123	1.3602091136683545	-0.9016001196388922	0.11112705752915007	-0.5697360515586125	Flavobacteriales
Phosphate	-0.40928638715183624	-0.4908929096771212	-0.5954598294442185	1.495639126273176	0.976401848535883	-1.0362654413838364	0.7267106495384139	-0.6668470566904604	Flavobacteriales
AA peptide + (NH4+)	1.3869177536151658	-0.08971460523019874	-0.31167247911050966	-0.985530669274458	1.4995856946446688	-0.4796937846850523	-0.48706732574792355	-0.532824584211693	Mamiellales
Anions	1.4160704083169433	-0.20817784464676597	-0.2708514297265231	-0.9370411339436544	1.4958462407535698	-0.521709351526459	-0.39820890073469056	-0.5759279884924202	Mamiellales
Carbohydrate	1.0192215425463218	-0.7360705132710161	0.688876288302351	-0.9720273175776566	1.5	-0.5	-0.5	-0.5	Mamiellales
Cations	1.061691586995497	0.07304546152336573	0.21482750296557607	-1.3495645514844397	0.2820644538141219	-0.738106092304731	1.2937722096686486	-0.8377305711780393	Mamiellales
Metal	1.4190843320234685	-0.14705651195242664	-0.3571352147390269	-0.9148926053320146	1.499620102979314	-0.4680467995784809	-0.5157866517004165	-0.5157866517004165	Mamiellales
Nitrate	-0.1839189433042488	-0.36080754064759374	1.4315932169477588	-0.8868667329959169	0.7319358933288627	-1.348123709636609	0.7861046816148141	-0.16991686530706757	Mamiellales
Other	1.2718571182731249	-0.03316109698661213	-0.06522893690138053	-1.1734670843851323	1.442957941201151	-0.6611579320937941	-0.09498030122703062	-0.6868197078803258	Mamiellales
AA peptide + (NH4+)	1.1962340376498897	0.34851598334820794	-1.1290502288923803	-0.4156997921057194	1.3105211941703478	-0.10180535087989992	-0.08393843927937508	-1.1247774040110732	Cellvibrionales
Anions	1.2686883442282484	0.2537104802862505	-1.050346249496342	-0.4720525750181576	-0.1287780601728117	0.9176365570884861	-1.3510405844336577	0.5621820875179838	Cellvibrionales
Carbohydrate	1.311155578245024	0.2410868868261028	-0.681200667186389	-0.8710417978847361	1.3959303209656082	-0.1423756750804571	-0.9770686881259861	-0.2764859577591647	Cellvibrionales
Cations	1.0328795203279963	-0.5276653398709712	-1.1264230037704976	0.6212088233134732	-0.17711898736060186	-0.6201306506574453	-0.6658617585887343	1.4631113966067815	Cellvibrionales
Metal	-0.7899476459176974	-0.6827825209956112	0.09397747715353023	1.3787526897597786	0.7468022590639143	-1.118718562933453	-0.562905752343957	0.9348220562134955	Cellvibrionales
Nitrate	0.9096333138922115	0.4885964221951136	-1.3906051329918367	-0.007624603095487933	1.4701292519859968	-0.7455752032340536	-0.46314405069324144	-0.2614099980587012	Cellvibrionales
Nucleoside	-0.5790577765800513	1.2848905508261188	-0.97124009327539	0.2654073190293221	1.3945204771876882	0.049238603049378264	-0.7949139764841202	-0.648845103752946	Cellvibrionales
Other	0.3443090461871202	0.8528496448933873	-1.4463718608717298	0.24921316979122182	0.9421779525026942	-1.3799737493704658	0.4556895547361157	-0.017893757868344434	Cellvibrionales
Phosphate	0.8589838951142349	0.4966899060237941	-1.418282738440508	0.06260893730247964	1.2917708503899052	-0.14360515822032371	-1.1448557432504802	-0.0033099489191012904	Cellvibrionales
AA peptide + (NH4+)	-0.5934113464242956	-0.3645974113580619	1.4929179135606931	-0.5349091557783358	-0.0948085771185391	-0.6377928009657748	1.4423767289100353	-0.7097753508257215	Sphingobacteriales
Anions	-0.5723409017547555	-0.37537099885831343	1.4942587095425255	-0.5465468089294566	-0.5	-0.5	1.5	-0.5	Sphingobacteriales
Carbohydrate	0.40754681498457207	-0.9762576542678383	-0.6427666264559266	1.2114774657391922	1.168941954280919	-0.8327612255766569	-0.8327612255766569	0.4965804968723945	Sphingobacteriales
Cations	-0.508062131630334	-0.4111917886032199	1.4965166115397595	-0.5772626913062052	-0.2746404310901684	-0.7663443006721748	1.4679796852044233	-0.42699495344208005	Sphingobacteriales
Metal	-0.3573130458894904	-0.5634448932761129	1.4925997909698727	-0.5718418518042696	-0.0546154297119048	-0.6884327736051352	1.4314809769221752	-0.6884327736051352	Sphingobacteriales
Nitrate	1.050553926770246	-0.8549038044202492	-0.8549038044202492	0.6592536820702524	-0.8627181906663958	-0.8627181906663958	0.9696510994765495	0.7557852818562423	Sphingobacteriales
Nucleoside	-0.5801181389930288	-0.4543467041390558	1.4975316772556246	-0.46306683412354	-0.4053186175333794	-0.492028778129568	1.495337045217255	-0.5979896495543076	Sphingobacteriales
Other	-0.6553686467848925	-0.36730723733579623	1.4892552054909138	-0.4665793213702257	-0.38485473975013973	-0.5208401802509068	1.4945937563390808	-0.5888988363380344	Sphingobacteriales
